[NLOS] Signal: -87.28 dBm | First Path: -96.11 dBm | Diff: 8.84 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.74 dBm | Diff: 8.43 dB
[NLOS] Signal: -87.52 dBm | First Path: -95.59 dBm | Diff: 8.07 dB
[NLOS] Signal: -87.45 dBm | First Path: -95.78 dBm | Diff: 8.34 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.81 dBm | Diff: 8.66 dB
[NLOS] Signal: -87.52 dBm | First Path: -95.91 dBm | Diff: 8.39 dB
[NLOS] Signal: -87.36 dBm | First Path: -96.15 dBm | Diff: 8.79 dB
[NLOS] Signal: -87.36 dBm | First Path: -96.25 dBm | Diff: 8.88 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.72 dBm | Diff: 8.19 dB
[NLOS] Signal: -87.66 dBm | First Path: -95.39 dBm | Diff: 7.72 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.47 dBm | Diff: 7.94 dB
[NLOS] Signal: -88.27 dBm | First Path: -95.49 dBm | Diff: 7.22 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.54 dBm | Diff: 8.23 dB
[NLOS] Signal: -87.39 dBm | First Path: -95.37 dBm | Diff: 7.98 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.50 dBm | Diff: 7.97 dB
[NLOS] Signal: -87.78 dBm | First Path: -97.02 dBm | Diff: 9.24 dB
[NLOS] Signal: -87.53 dBm | First Path: -96.34 dBm | Diff: 8.81 dB
[NLOS] Signal: -87.36 dBm | First Path: -97.15 dBm | Diff: 9.79 dB
[NLOS] Signal: -87.23 dBm | First Path: -96.57 dBm | Diff: 9.34 dB
[NLOS] Signal: -87.52 dBm | First Path: -97.04 dBm | Diff: 9.53 dB
[NLOS] Signal: -87.34 dBm | First Path: -96.31 dBm | Diff: 8.97 dB
[NLOS] Signal: -87.11 dBm | First Path: -96.29 dBm | Diff: 9.18 dB
[NLOS] Signal: -87.76 dBm | First Path: -95.40 dBm | Diff: 7.64 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.32 dBm | Diff: 8.17 dB
[NLOS] Signal: -87.39 dBm | First Path: -94.24 dBm | Diff: 6.85 dB
[NLOS] Signal: -87.52 dBm | First Path: -94.41 dBm | Diff: 6.89 dB
[NLOS] Signal: -87.28 dBm | First Path: -94.75 dBm | Diff: 7.47 dB
[NLOS] Signal: -87.43 dBm | First Path: -94.64 dBm | Diff: 7.21 dB
[NLOS] Signal: -88.16 dBm | First Path: -96.66 dBm | Diff: 8.50 dB
[NLOS] Signal: -87.23 dBm | First Path: -96.98 dBm | Diff: 9.76 dB
[NLOS] Signal: -86.93 dBm | First Path: -97.11 dBm | Diff: 10.18 dB
[NLOS] Signal: -86.69 dBm | First Path: -95.94 dBm | Diff: 9.25 dB
[NLOS] Signal: -87.76 dBm | First Path: -94.75 dBm | Diff: 6.99 dB
[NLOS] Signal: -87.44 dBm | First Path: -93.98 dBm | Diff: 6.54 dB
[NLOS] Signal: -87.77 dBm | First Path: -94.51 dBm | Diff: 6.75 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.20 dBm | Diff: 7.77 dB
[NLOS] Signal: -87.45 dBm | First Path: -96.22 dBm | Diff: 8.77 dB
[NLOS] Signal: -87.69 dBm | First Path: -97.09 dBm | Diff: 9.40 dB
[NLOS] Signal: -87.11 dBm | First Path: -96.46 dBm | Diff: 9.35 dB
[NLOS] Signal: -87.69 dBm | First Path: -96.39 dBm | Diff: 8.70 dB
[NLOS] Signal: -87.36 dBm | First Path: -95.28 dBm | Diff: 7.91 dB
[NLOS] Signal: -87.39 dBm | First Path: -94.37 dBm | Diff: 6.98 dB
[NLOS] Signal: -87.23 dBm | First Path: -94.59 dBm | Diff: 7.36 dB
[NLOS] Signal: -87.34 dBm | First Path: -95.07 dBm | Diff: 7.72 dB
[NLOS] Signal: -87.03 dBm | First Path: -95.81 dBm | Diff: 8.78 dB
[NLOS] Signal: -87.03 dBm | First Path: -96.80 dBm | Diff: 9.77 dB
[NLOS] Signal: -86.95 dBm | First Path: -96.59 dBm | Diff: 9.65 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.49 dBm | Diff: 9.21 dB
[NLOS] Signal: -88.03 dBm | First Path: -96.21 dBm | Diff: 8.18 dB
[NLOS] Signal: -87.63 dBm | First Path: -96.77 dBm | Diff: 9.14 dB
[NLOS] Signal: -91.55 dBm | First Path: -95.56 dBm | Diff: 4.01 dB
[NLOS] Signal: -87.85 dBm | First Path: -95.43 dBm | Diff: 7.58 dB
[NLOS] Signal: -87.36 dBm | First Path: -94.81 dBm | Diff: 7.44 dB
[NLOS] Signal: -87.23 dBm | First Path: -94.80 dBm | Diff: 7.57 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.00 dBm | Diff: 8.72 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.15 dBm | Diff: 8.87 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.13 dBm | Diff: 7.98 dB
[NLOS] Signal: -87.19 dBm | First Path: -96.06 dBm | Diff: 8.87 dB
[NLOS] Signal: -87.55 dBm | First Path: -96.11 dBm | Diff: 8.56 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.18 dBm | Diff: 8.90 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.46 dBm | Diff: 8.32 dB
[NLOS] Signal: -87.36 dBm | First Path: -95.15 dBm | Diff: 7.79 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.31 dBm | Diff: 8.03 dB
[NLOS] Signal: -86.68 dBm | First Path: -94.73 dBm | Diff: 8.05 dB
[NLOS] Signal: -87.03 dBm | First Path: -95.57 dBm | Diff: 8.54 dB
[NLOS] Signal: -86.98 dBm | First Path: -96.44 dBm | Diff: 9.46 dB
[NLOS] Signal: -86.89 dBm | First Path: -95.25 dBm | Diff: 8.35 dB
