[NLOS] Signal: -83.11 dBm | First Path: -96.58 dBm | Diff: 13.47 dB
[NLOS] Signal: -83.02 dBm | First Path: -97.08 dBm | Diff: 14.05 dB
[NLOS] Signal: -83.39 dBm | First Path: -97.31 dBm | Diff: 13.92 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.41 dBm | Diff: 13.33 dB
[NLOS] Signal: -83.87 dBm | First Path: -97.45 dBm | Diff: 13.58 dB
[NLOS] Signal: -83.40 dBm | First Path: -96.81 dBm | Diff: 13.41 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.22 dBm | Diff: 13.14 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.24 dBm | Diff: 13.32 dB
[NLOS] Signal: -83.51 dBm | First Path: -96.54 dBm | Diff: 13.03 dB
[NLOS] Signal: -83.05 dBm | First Path: -95.87 dBm | Diff: 12.82 dB
[NLOS] Signal: -83.23 dBm | First Path: -97.28 dBm | Diff: 14.05 dB
[NLOS] Signal: -83.03 dBm | First Path: -96.86 dBm | Diff: 13.83 dB
[NLOS] Signal: -82.91 dBm | First Path: -96.92 dBm | Diff: 14.01 dB
[NLOS] Signal: -83.02 dBm | First Path: -96.34 dBm | Diff: 13.32 dB
[NLOS] Signal: -83.34 dBm | First Path: -96.21 dBm | Diff: 12.87 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.95 dBm | Diff: 13.71 dB
[NLOS] Signal: -83.21 dBm | First Path: -96.56 dBm | Diff: 13.35 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.92 dBm | Diff: 13.92 dB
[NLOS] Signal: -83.27 dBm | First Path: -96.90 dBm | Diff: 13.63 dB
[NLOS] Signal: -83.34 dBm | First Path: -96.59 dBm | Diff: 13.25 dB
[NLOS] Signal: -82.78 dBm | First Path: -96.65 dBm | Diff: 13.87 dB
[NLOS] Signal: -83.13 dBm | First Path: -96.79 dBm | Diff: 13.66 dB
[NLOS] Signal: -82.76 dBm | First Path: -96.79 dBm | Diff: 14.02 dB
[NLOS] Signal: -82.94 dBm | First Path: -96.41 dBm | Diff: 13.48 dB
[NLOS] Signal: -83.29 dBm | First Path: -96.76 dBm | Diff: 13.47 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.97 dBm | Diff: 13.81 dB
[NLOS] Signal: -82.84 dBm | First Path: -96.60 dBm | Diff: 13.76 dB
[NLOS] Signal: -83.32 dBm | First Path: -96.91 dBm | Diff: 13.59 dB
[NLOS] Signal: -83.19 dBm | First Path: -96.49 dBm | Diff: 13.30 dB
[NLOS] Signal: -83.43 dBm | First Path: -97.01 dBm | Diff: 13.57 dB
[NLOS] Signal: -83.13 dBm | First Path: -96.64 dBm | Diff: 13.51 dB
[NLOS] Signal: -83.43 dBm | First Path: -96.60 dBm | Diff: 13.16 dB
[NLOS] Signal: -83.68 dBm | First Path: -97.52 dBm | Diff: 13.84 dB
[NLOS] Signal: -82.97 dBm | First Path: -96.49 dBm | Diff: 13.52 dB
[NLOS] Signal: -83.59 dBm | First Path: -96.78 dBm | Diff: 13.18 dB
[NLOS] Signal: -82.74 dBm | First Path: -96.82 dBm | Diff: 14.09 dB
[NLOS] Signal: -82.84 dBm | First Path: -96.56 dBm | Diff: 13.72 dB
[NLOS] Signal: -83.11 dBm | First Path: -96.57 dBm | Diff: 13.46 dB
[NLOS] Signal: -83.79 dBm | First Path: -96.88 dBm | Diff: 13.09 dB
[NLOS] Signal: -83.05 dBm | First Path: -96.74 dBm | Diff: 13.69 dB
[NLOS] Signal: -82.88 dBm | First Path: -96.13 dBm | Diff: 13.25 dB
[NLOS] Signal: -83.26 dBm | First Path: -96.41 dBm | Diff: 13.15 dB
[NLOS] Signal: -82.82 dBm | First Path: -96.23 dBm | Diff: 13.42 dB
[NLOS] Signal: -82.90 dBm | First Path: -96.41 dBm | Diff: 13.51 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.35 dBm | Diff: 13.27 dB
[NLOS] Signal: -83.23 dBm | First Path: -97.24 dBm | Diff: 14.01 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.23 dBm | Diff: 13.37 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.55 dBm | Diff: 13.47 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.56 dBm | Diff: 13.71 dB
[NLOS] Signal: -83.31 dBm | First Path: -96.63 dBm | Diff: 13.32 dB
[NLOS] Signal: -83.52 dBm | First Path: -97.49 dBm | Diff: 13.97 dB
[NLOS] Signal: -83.47 dBm | First Path: -97.21 dBm | Diff: 13.75 dB
[NLOS] Signal: -82.91 dBm | First Path: -96.57 dBm | Diff: 13.65 dB
[NLOS] Signal: -82.78 dBm | First Path: -96.54 dBm | Diff: 13.76 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.34 dBm | Diff: 13.42 dB
[NLOS] Signal: -82.80 dBm | First Path: -96.82 dBm | Diff: 14.02 dB
[NLOS] Signal: -83.13 dBm | First Path: -96.73 dBm | Diff: 13.59 dB
[NLOS] Signal: -83.16 dBm | First Path: -97.64 dBm | Diff: 14.48 dB
[NLOS] Signal: -82.74 dBm | First Path: -96.25 dBm | Diff: 13.52 dB
[NLOS] Signal: -82.98 dBm | First Path: -96.63 dBm | Diff: 13.65 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.24 dBm | Diff: 13.16 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.45 dBm | Diff: 13.37 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.28 dBm | Diff: 13.29 dB
[NLOS] Signal: -83.34 dBm | First Path: -97.26 dBm | Diff: 13.91 dB
[NLOS] Signal: -82.84 dBm | First Path: -96.14 dBm | Diff: 13.30 dB
[NLOS] Signal: -83.21 dBm | First Path: -97.91 dBm | Diff: 14.70 dB
[NLOS] Signal: -82.68 dBm | First Path: -96.84 dBm | Diff: 14.15 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.30 dBm | Diff: 13.30 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.96 dBm | Diff: 13.88 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.89 dBm | Diff: 13.74 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.23 dBm | Diff: 13.24 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.62 dBm | Diff: 13.54 dB
[NLOS] Signal: -83.75 dBm | First Path: -96.55 dBm | Diff: 12.80 dB
[NLOS] Signal: -83.55 dBm | First Path: -97.14 dBm | Diff: 13.59 dB
[NLOS] Signal: -83.21 dBm | First Path: -96.34 dBm | Diff: 13.13 dB
[NLOS] Signal: -84.03 dBm | First Path: -97.31 dBm | Diff: 13.28 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.46 dBm | Diff: 13.60 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.44 dBm | Diff: 13.45 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.49 dBm | Diff: 13.25 dB
[NLOS] Signal: -83.11 dBm | First Path: -96.99 dBm | Diff: 13.88 dB
[NLOS] Signal: -83.14 dBm | First Path: -96.58 dBm | Diff: 13.44 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.34 dBm | Diff: 13.48 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.58 dBm | Diff: 13.58 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.48 dBm | Diff: 13.48 dB
[NLOS] Signal: -82.96 dBm | First Path: -96.64 dBm | Diff: 13.68 dB
[NLOS] Signal: -83.75 dBm | First Path: -96.54 dBm | Diff: 12.79 dB
[NLOS] Signal: -83.72 dBm | First Path: -96.95 dBm | Diff: 13.23 dB
[NLOS] Signal: -83.42 dBm | First Path: -96.26 dBm | Diff: 12.84 dB
[NLOS] Signal: -82.68 dBm | First Path: -96.81 dBm | Diff: 14.13 dB
[NLOS] Signal: -83.21 dBm | First Path: -96.15 dBm | Diff: 12.94 dB
[NLOS] Signal: -83.98 dBm | First Path: -96.96 dBm | Diff: 12.98 dB
[NLOS] Signal: -82.94 dBm | First Path: -96.38 dBm | Diff: 13.44 dB
[NLOS] Signal: -82.94 dBm | First Path: -96.69 dBm | Diff: 13.76 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.36 dBm | Diff: 13.20 dB
[NLOS] Signal: -84.13 dBm | First Path: -97.41 dBm | Diff: 13.28 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.67 dBm | Diff: 13.59 dB
[NLOS] Signal: -83.34 dBm | First Path: -96.26 dBm | Diff: 12.91 dB
[NLOS] Signal: -83.34 dBm | First Path: -96.31 dBm | Diff: 12.97 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.56 dBm | Diff: 13.70 dB
[NLOS] Signal: -83.19 dBm | First Path: -96.47 dBm | Diff: 13.28 dB
[NLOS] Signal: -82.89 dBm | First Path: -96.16 dBm | Diff: 13.27 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.69 dBm | Diff: 13.77 dB
[NLOS] Signal: -83.43 dBm | First Path: -96.48 dBm | Diff: 13.05 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.45 dBm | Diff: 13.37 dB
[NLOS] Signal: -83.10 dBm | First Path: -96.29 dBm | Diff: 13.19 dB
[NLOS] Signal: -83.39 dBm | First Path: -96.67 dBm | Diff: 13.28 dB
[NLOS] Signal: -83.63 dBm | First Path: -97.36 dBm | Diff: 13.73 dB
[NLOS] Signal: -83.14 dBm | First Path: -97.66 dBm | Diff: 14.52 dB
[NLOS] Signal: -82.64 dBm | First Path: -95.93 dBm | Diff: 13.30 dB
[NLOS] Signal: -83.05 dBm | First Path: -95.73 dBm | Diff: 12.68 dB
[NLOS] Signal: -83.59 dBm | First Path: -96.94 dBm | Diff: 13.34 dB
[NLOS] Signal: -82.82 dBm | First Path: -96.24 dBm | Diff: 13.42 dB
[NLOS] Signal: -83.16 dBm | First Path: -95.74 dBm | Diff: 12.58 dB
[NLOS] Signal: -83.13 dBm | First Path: -98.37 dBm | Diff: 15.24 dB
[NLOS] Signal: -83.59 dBm | First Path: -96.90 dBm | Diff: 13.30 dB
[NLOS] Signal: -83.35 dBm | First Path: -96.68 dBm | Diff: 13.33 dB
[NLOS] Signal: -83.03 dBm | First Path: -95.61 dBm | Diff: 12.58 dB
[NLOS] Signal: -83.16 dBm | First Path: -97.82 dBm | Diff: 14.66 dB
[NLOS] Signal: -82.92 dBm | First Path: -97.35 dBm | Diff: 14.43 dB
[NLOS] Signal: -83.11 dBm | First Path: -95.75 dBm | Diff: 12.64 dB
[NLOS] Signal: -82.76 dBm | First Path: -94.66 dBm | Diff: 11.90 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.19 dBm | Diff: 13.27 dB
[NLOS] Signal: -83.10 dBm | First Path: -95.78 dBm | Diff: 12.67 dB
