[NLOS] Signal: -81.83 dBm | First Path: -90.89 dBm | Diff: 9.06 dB
[NLOS] Signal: -81.52 dBm | First Path: -90.59 dBm | Diff: 9.06 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.39 dBm | Diff: 8.64 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.15 dBm | Diff: 8.40 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.13 dBm | Diff: 8.53 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.41 dBm | Diff: 8.74 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.62 dBm | Diff: 8.94 dB
[NLOS] Signal: -81.68 dBm | First Path: -89.79 dBm | Diff: 8.11 dB
[NLOS] Signal: -81.60 dBm | First Path: -90.04 dBm | Diff: 8.44 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.01 dBm | Diff: 8.26 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.43 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.92 dBm | Diff: 8.17 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.23 dBm | Diff: 8.48 dB
[NLOS] Signal: -81.58 dBm | First Path: -89.97 dBm | Diff: 8.38 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.61 dBm | Diff: 8.79 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.47 dBm | Diff: 8.88 dB
[NLOS] Signal: -81.54 dBm | First Path: -90.24 dBm | Diff: 8.70 dB
[NLOS] Signal: -81.61 dBm | First Path: -90.20 dBm | Diff: 8.60 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.08 dBm | Diff: 8.42 dB
[NLOS] Signal: -81.47 dBm | First Path: -90.41 dBm | Diff: 8.94 dB
[NLOS] Signal: -81.61 dBm | First Path: -90.21 dBm | Diff: 8.60 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.32 dBm | Diff: 8.73 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.47 dBm | Diff: 8.81 dB
[NLOS] Signal: -81.68 dBm | First Path: -90.20 dBm | Diff: 8.52 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.72 dBm | Diff: 9.05 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.44 dBm | Diff: 8.61 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.67 dBm | Diff: 8.00 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.25 dBm | Diff: 8.50 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.91 dBm | Diff: 8.24 dB
[NLOS] Signal: -81.83 dBm | First Path: -89.89 dBm | Diff: 8.06 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.41 dBm | Diff: 8.67 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.40 dBm | Diff: 8.57 dB
[NLOS] Signal: -81.92 dBm | First Path: -90.78 dBm | Diff: 8.86 dB
[NLOS] Signal: -81.66 dBm | First Path: -89.77 dBm | Diff: 8.11 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.12 dBm | Diff: 8.29 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.36 dBm | Diff: 8.45 dB
[NLOS] Signal: -81.60 dBm | First Path: -90.36 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.17 dBm | Diff: 8.34 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.64 dBm | Diff: 8.81 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.92 dBm | Diff: 9.09 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.02 dBm | Diff: 8.11 dB
[NLOS] Signal: -81.69 dBm | First Path: -89.69 dBm | Diff: 8.00 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.41 dBm | Diff: 8.66 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.88 dBm | Diff: 8.14 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.02 dBm | Diff: 8.27 dB
[NLOS] Signal: -81.92 dBm | First Path: -89.81 dBm | Diff: 7.89 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.35 dBm | Diff: 9.52 dB
[NLOS] Signal: -81.68 dBm | First Path: -89.86 dBm | Diff: 8.19 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.48 dBm | Diff: 8.73 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.91 dBm | Diff: 8.16 dB
[NLOS] Signal: -81.53 dBm | First Path: -89.58 dBm | Diff: 8.05 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.92 dBm | Diff: 8.17 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.52 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.71 dBm | Diff: 8.80 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.28 dBm | Diff: 8.45 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.32 dBm | Diff: 8.66 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.73 dBm | Diff: 8.82 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.92 dBm | Diff: 8.33 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.77 dBm | Diff: 8.10 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.39 dBm | Diff: 8.64 dB
[NLOS] Signal: -81.68 dBm | First Path: -89.97 dBm | Diff: 8.29 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.37 dBm | Diff: 8.63 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.17 dBm | Diff: 8.17 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.16 dBm | Diff: 8.25 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.55 dBm | Diff: 8.89 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.70 dBm | Diff: 8.95 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.60 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.60 dBm | First Path: -89.96 dBm | Diff: 8.36 dB
[NLOS] Signal: -82.10 dBm | First Path: -90.99 dBm | Diff: 8.90 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.59 dBm | Diff: 8.76 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.77 dBm | Diff: 8.77 dB
[NLOS] Signal: -82.01 dBm | First Path: -90.93 dBm | Diff: 8.92 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.45 dBm | Diff: 8.54 dB
[NLOS] Signal: -81.91 dBm | First Path: -91.00 dBm | Diff: 9.09 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.44 dBm | Diff: 8.69 dB
[NLOS] Signal: -81.99 dBm | First Path: -90.95 dBm | Diff: 8.96 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.68 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.15 dBm | Diff: 8.48 dB
[NLOS] Signal: -81.66 dBm | First Path: -89.94 dBm | Diff: 8.28 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.30 dBm | Diff: 8.39 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.44 dBm | Diff: 8.53 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.52 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.68 dBm | First Path: -89.72 dBm | Diff: 8.04 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.04 dBm | Diff: 8.21 dB
[NLOS] Signal: -81.99 dBm | First Path: -90.58 dBm | Diff: 8.59 dB
[NLOS] Signal: -82.09 dBm | First Path: -91.18 dBm | Diff: 9.09 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.55 dBm | Diff: 8.72 dB
[NLOS] Signal: -81.99 dBm | First Path: -90.81 dBm | Diff: 8.83 dB
[NLOS] Signal: -81.61 dBm | First Path: -89.78 dBm | Diff: 8.17 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.37 dBm | Diff: 8.62 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.55 dBm | Diff: 8.72 dB
[NLOS] Signal: -81.92 dBm | First Path: -90.41 dBm | Diff: 8.49 dB
[NLOS] Signal: -81.76 dBm | First Path: -89.84 dBm | Diff: 8.09 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.81 dBm | Diff: 9.07 dB
[NLOS] Signal: -82.08 dBm | First Path: -91.61 dBm | Diff: 9.53 dB
[NLOS] Signal: -82.10 dBm | First Path: -90.92 dBm | Diff: 8.83 dB
[NLOS] Signal: -81.99 dBm | First Path: -91.23 dBm | Diff: 9.24 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.95 dBm | Diff: 8.20 dB
[NLOS] Signal: -81.92 dBm | First Path: -90.17 dBm | Diff: 8.25 dB
[NLOS] Signal: -81.76 dBm | First Path: -90.87 dBm | Diff: 9.11 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.12 dBm | Diff: 8.45 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.61 dBm | Diff: 7.94 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.23 dBm | Diff: 8.49 dB
[NLOS] Signal: -82.10 dBm | First Path: -90.30 dBm | Diff: 8.20 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.17 dBm | Diff: 8.34 dB
[NLOS] Signal: -81.92 dBm | First Path: -90.60 dBm | Diff: 8.68 dB
[NLOS] Signal: -81.76 dBm | First Path: -90.48 dBm | Diff: 8.72 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.44 dBm | Diff: 8.69 dB
[NLOS] Signal: -81.61 dBm | First Path: -90.41 dBm | Diff: 8.80 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.25 dBm | Diff: 8.50 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.94 dBm | Diff: 8.19 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.03 dBm | Diff: 8.27 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.92 dBm | Diff: 8.93 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.99 dBm | Diff: 9.23 dB
[NLOS] Signal: -81.84 dBm | First Path: -90.28 dBm | Diff: 8.44 dB
[NLOS] Signal: -82.01 dBm | First Path: -90.26 dBm | Diff: 8.26 dB
[NLOS] Signal: -81.91 dBm | First Path: -89.95 dBm | Diff: 8.04 dB
[NLOS] Signal: -81.92 dBm | First Path: -91.01 dBm | Diff: 9.09 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.30 dBm | Diff: 8.63 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.89 dBm | Diff: 8.14 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.79 dBm | Diff: 8.04 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.44 dBm | Diff: 8.60 dB
[NLOS] Signal: -81.68 dBm | First Path: -90.10 dBm | Diff: 8.42 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.53 dBm | Diff: 8.78 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.17 dBm | Diff: 9.34 dB
[NLOS] Signal: -82.01 dBm | First Path: -91.03 dBm | Diff: 9.02 dB
[NLOS] Signal: -81.76 dBm | First Path: -90.36 dBm | Diff: 8.60 dB
[NLOS] Signal: -81.83 dBm | First Path: -89.83 dBm | Diff: 8.00 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.86 dBm | Diff: 8.11 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.25 dBm | Diff: 8.34 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.19 dBm | Diff: 8.45 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.23 dBm | Diff: 8.49 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.40 dBm | Diff: 8.49 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.42 dBm | Diff: 8.42 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.25 dBm | Diff: 9.42 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.82 dBm | Diff: 8.99 dB
[NLOS] Signal: -81.68 dBm | First Path: -90.84 dBm | Diff: 9.16 dB
[NLOS] Signal: -83.37 dBm | First Path: -89.96 dBm | Diff: 6.59 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.19 dBm | Diff: 8.36 dB
[NLOS] Signal: -81.61 dBm | First Path: -89.85 dBm | Diff: 8.24 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.81 dBm | Diff: 8.22 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.62 dBm | Diff: 8.88 dB
[NLOS] Signal: -81.58 dBm | First Path: -90.23 dBm | Diff: 8.65 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.02 dBm | Diff: 9.19 dB
[NLOS] Signal: -81.92 dBm | First Path: -90.84 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.85 dBm | Diff: 8.19 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.66 dBm | Diff: 8.99 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.82 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.70 dBm | Diff: 7.95 dB
[NLOS] Signal: -81.83 dBm | First Path: -89.76 dBm | Diff: 7.93 dB
[NLOS] Signal: -81.83 dBm | First Path: -89.74 dBm | Diff: 7.91 dB
[NLOS] Signal: -81.60 dBm | First Path: -90.41 dBm | Diff: 8.81 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.50 dBm | Diff: 8.67 dB
[NLOS] Signal: -81.91 dBm | First Path: -91.03 dBm | Diff: 9.12 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.45 dBm | Diff: 8.70 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.18 dBm | Diff: 8.51 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.41 dBm | Diff: 8.66 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.97 dBm | Diff: 9.14 dB
[NLOS] Signal: -81.53 dBm | First Path: -89.81 dBm | Diff: 8.28 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.13 dBm | Diff: 8.22 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.68 dBm | Diff: 7.93 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.00 dBm | Diff: 8.26 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.02 dBm | Diff: 8.36 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.99 dBm | Diff: 8.25 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.61 dBm | Diff: 8.86 dB
[NLOS] Signal: -81.91 dBm | First Path: -91.23 dBm | Diff: 9.32 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.90 dBm | Diff: 8.31 dB
[NLOS] Signal: -81.58 dBm | First Path: -89.82 dBm | Diff: 8.24 dB
[NLOS] Signal: -82.01 dBm | First Path: -91.02 dBm | Diff: 9.01 dB
[NLOS] Signal: -81.52 dBm | First Path: -90.52 dBm | Diff: 8.99 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.20 dBm | Diff: 8.36 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.77 dBm | Diff: 8.18 dB
[NLOS] Signal: -81.91 dBm | First Path: -90.00 dBm | Diff: 8.08 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.25 dBm | Diff: 9.42 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.95 dBm | Diff: 8.28 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.64 dBm | Diff: 8.89 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.47 dBm | Diff: 8.64 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.72 dBm | Diff: 8.96 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.83 dBm | Diff: 8.83 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.40 dBm | Diff: 8.65 dB
[NLOS] Signal: -81.83 dBm | First Path: -89.95 dBm | Diff: 8.12 dB
[NLOS] Signal: -81.53 dBm | First Path: -90.49 dBm | Diff: 8.96 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.31 dBm | Diff: 8.64 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.11 dBm | Diff: 8.28 dB
[NLOS] Signal: -81.67 dBm | First Path: -89.84 dBm | Diff: 8.17 dB
[NLOS] Signal: -82.01 dBm | First Path: -90.55 dBm | Diff: 8.53 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.16 dBm | Diff: 8.41 dB
[NLOS] Signal: -81.68 dBm | First Path: -90.62 dBm | Diff: 8.95 dB
[NLOS] Signal: -81.75 dBm | First Path: -89.65 dBm | Diff: 7.90 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.87 dBm | Diff: 8.27 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.41 dBm | Diff: 8.67 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.74 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.61 dBm | First Path: -90.22 dBm | Diff: 8.61 dB
[NLOS] Signal: -81.52 dBm | First Path: -89.61 dBm | Diff: 8.09 dB
[NLOS] Signal: -81.92 dBm | First Path: -91.49 dBm | Diff: 9.57 dB
[NLOS] Signal: -81.58 dBm | First Path: -90.00 dBm | Diff: 8.42 dB
