[NLOS] Signal: -85.00 dBm | First Path: -96.63 dBm | Diff: 11.63 dB
[NLOS] Signal: -84.45 dBm | First Path: -95.31 dBm | Diff: 10.86 dB
[NLOS] Signal: -85.24 dBm | First Path: -95.96 dBm | Diff: 10.72 dB
[NLOS] Signal: -84.93 dBm | First Path: -95.46 dBm | Diff: 10.53 dB
[NLOS] Signal: -84.48 dBm | First Path: -95.44 dBm | Diff: 10.97 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.58 dBm | Diff: 11.74 dB
[NLOS] Signal: -84.54 dBm | First Path: -96.45 dBm | Diff: 11.91 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.82 dBm | Diff: 12.36 dB
[NLOS] Signal: -84.61 dBm | First Path: -95.80 dBm | Diff: 11.19 dB
[NLOS] Signal: -84.32 dBm | First Path: -95.46 dBm | Diff: 11.14 dB
[NLOS] Signal: -84.08 dBm | First Path: -95.75 dBm | Diff: 11.68 dB
[NLOS] Signal: -84.84 dBm | First Path: -97.06 dBm | Diff: 12.21 dB
[NLOS] Signal: -85.01 dBm | First Path: -95.97 dBm | Diff: 10.96 dB
[NLOS] Signal: -84.38 dBm | First Path: -94.55 dBm | Diff: 10.17 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.18 dBm | Diff: 11.72 dB
[NLOS] Signal: -84.14 dBm | First Path: -96.04 dBm | Diff: 11.91 dB
[NLOS] Signal: -85.00 dBm | First Path: -95.47 dBm | Diff: 10.47 dB
[NLOS] Signal: -85.16 dBm | First Path: -96.56 dBm | Diff: 11.40 dB
[NLOS] Signal: -84.30 dBm | First Path: -96.14 dBm | Diff: 11.84 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.83 dBm | Diff: 11.40 dB
[NLOS] Signal: -84.22 dBm | First Path: -95.60 dBm | Diff: 11.38 dB
[NLOS] Signal: -84.22 dBm | First Path: -96.13 dBm | Diff: 11.91 dB
[NLOS] Signal: -84.05 dBm | First Path: -95.78 dBm | Diff: 11.73 dB
[NLOS] Signal: -84.10 dBm | First Path: -95.44 dBm | Diff: 11.34 dB
[NLOS] Signal: -84.10 dBm | First Path: -95.65 dBm | Diff: 11.55 dB
[NLOS] Signal: -84.05 dBm | First Path: -95.27 dBm | Diff: 11.22 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.18 dBm | Diff: 10.75 dB
[NLOS] Signal: -84.38 dBm | First Path: -95.43 dBm | Diff: 11.05 dB
[NLOS] Signal: -84.40 dBm | First Path: -95.28 dBm | Diff: 10.89 dB
[NLOS] Signal: -84.69 dBm | First Path: -95.90 dBm | Diff: 11.21 dB
[NLOS] Signal: -84.38 dBm | First Path: -95.65 dBm | Diff: 11.27 dB
[NLOS] Signal: -83.86 dBm | First Path: -95.90 dBm | Diff: 12.04 dB
[NLOS] Signal: -83.89 dBm | First Path: -96.27 dBm | Diff: 12.39 dB
[NLOS] Signal: -83.77 dBm | First Path: -95.55 dBm | Diff: 11.78 dB
[NLOS] Signal: -84.34 dBm | First Path: -95.58 dBm | Diff: 11.24 dB
[NLOS] Signal: -84.14 dBm | First Path: -96.16 dBm | Diff: 12.03 dB
[NLOS] Signal: -85.00 dBm | First Path: -96.56 dBm | Diff: 11.55 dB
[NLOS] Signal: -84.15 dBm | First Path: -95.98 dBm | Diff: 11.82 dB
[NLOS] Signal: -84.16 dBm | First Path: -95.67 dBm | Diff: 11.52 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.13 dBm | Diff: 11.76 dB
[NLOS] Signal: -84.44 dBm | First Path: -96.18 dBm | Diff: 11.74 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.79 dBm | Diff: 11.96 dB
[NLOS] Signal: -84.35 dBm | First Path: -96.27 dBm | Diff: 11.92 dB
[NLOS] Signal: -84.93 dBm | First Path: -96.65 dBm | Diff: 11.72 dB
[NLOS] Signal: -84.93 dBm | First Path: -96.83 dBm | Diff: 11.90 dB
[NLOS] Signal: -84.05 dBm | First Path: -96.30 dBm | Diff: 12.25 dB
[NLOS] Signal: -84.15 dBm | First Path: -96.27 dBm | Diff: 12.12 dB
[NLOS] Signal: -84.45 dBm | First Path: -96.28 dBm | Diff: 11.83 dB
[NLOS] Signal: -84.13 dBm | First Path: -95.94 dBm | Diff: 11.81 dB
[NLOS] Signal: -84.34 dBm | First Path: -96.19 dBm | Diff: 11.85 dB
[NLOS] Signal: -84.21 dBm | First Path: -95.90 dBm | Diff: 11.69 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.05 dBm | Diff: 11.20 dB
[NLOS] Signal: -84.40 dBm | First Path: -95.50 dBm | Diff: 11.10 dB
[NLOS] Signal: -84.24 dBm | First Path: -95.19 dBm | Diff: 10.95 dB
[NLOS] Signal: -84.32 dBm | First Path: -95.53 dBm | Diff: 11.22 dB
[NLOS] Signal: -84.68 dBm | First Path: -95.60 dBm | Diff: 10.92 dB
[NLOS] Signal: -84.53 dBm | First Path: -95.74 dBm | Diff: 11.21 dB
[NLOS] Signal: -84.43 dBm | First Path: -95.58 dBm | Diff: 11.15 dB
[NLOS] Signal: -84.67 dBm | First Path: -96.01 dBm | Diff: 11.34 dB
[NLOS] Signal: -84.60 dBm | First Path: -95.53 dBm | Diff: 10.93 dB
[NLOS] Signal: -84.62 dBm | First Path: -95.27 dBm | Diff: 10.65 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.19 dBm | Diff: 11.35 dB
