[NLOS] Signal: -85.08 dBm | First Path: -94.06 dBm | Diff: 8.98 dB
[NLOS] Signal: -84.60 dBm | First Path: -93.69 dBm | Diff: 9.09 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.38 dBm | Diff: 9.55 dB
[NLOS] Signal: -84.48 dBm | First Path: -93.74 dBm | Diff: 9.26 dB
[NLOS] Signal: -84.67 dBm | First Path: -94.07 dBm | Diff: 9.40 dB
[NLOS] Signal: -85.00 dBm | First Path: -95.15 dBm | Diff: 10.14 dB
[NLOS] Signal: -85.00 dBm | First Path: -94.54 dBm | Diff: 9.54 dB
[NLOS] Signal: -84.61 dBm | First Path: -93.98 dBm | Diff: 9.37 dB
[NLOS] Signal: -84.48 dBm | First Path: -94.18 dBm | Diff: 9.71 dB
[NLOS] Signal: -84.62 dBm | First Path: -93.81 dBm | Diff: 9.20 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.22 dBm | Diff: 9.68 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.55 dBm | Diff: 9.96 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.36 dBm | Diff: 9.77 dB
[NLOS] Signal: -84.46 dBm | First Path: -94.09 dBm | Diff: 9.63 dB
[NLOS] Signal: -84.53 dBm | First Path: -94.23 dBm | Diff: 9.70 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.31 dBm | Diff: 9.71 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.37 dBm | Diff: 9.77 dB
[NLOS] Signal: -84.53 dBm | First Path: -94.33 dBm | Diff: 9.80 dB
[NLOS] Signal: -84.51 dBm | First Path: -94.38 dBm | Diff: 9.87 dB
[NLOS] Signal: -84.52 dBm | First Path: -94.41 dBm | Diff: 9.89 dB
[NLOS] Signal: -84.46 dBm | First Path: -94.38 dBm | Diff: 9.92 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.74 dBm | Diff: 10.20 dB
