[NLOS] Signal: -84.27 dBm | First Path: -95.79 dBm | Diff: 11.52 dB
[NLOS] Signal: -84.61 dBm | First Path: -95.42 dBm | Diff: 10.81 dB
[NLOS] Signal: -84.62 dBm | First Path: -96.36 dBm | Diff: 11.74 dB
[NLOS] Signal: -84.94 dBm | First Path: -96.14 dBm | Diff: 11.20 dB
[NLOS] Signal: -85.08 dBm | First Path: -95.35 dBm | Diff: 10.28 dB
[NLOS] Signal: -84.35 dBm | First Path: -95.16 dBm | Diff: 10.80 dB
[NLOS] Signal: -84.35 dBm | First Path: -95.39 dBm | Diff: 11.04 dB
[NLOS] Signal: -84.30 dBm | First Path: -95.39 dBm | Diff: 11.09 dB
[NLOS] Signal: -84.93 dBm | First Path: -95.20 dBm | Diff: 10.27 dB
[NLOS] Signal: -84.92 dBm | First Path: -95.53 dBm | Diff: 10.62 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.31 dBm | Diff: 10.56 dB
[NLOS] Signal: -84.68 dBm | First Path: -94.90 dBm | Diff: 10.22 dB
[NLOS] Signal: -84.77 dBm | First Path: -95.23 dBm | Diff: 10.47 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.81 dBm | Diff: 11.38 dB
[NLOS] Signal: -84.14 dBm | First Path: -95.94 dBm | Diff: 11.81 dB
[NLOS] Signal: -84.48 dBm | First Path: -95.43 dBm | Diff: 10.95 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.15 dBm | Diff: 10.87 dB
[NLOS] Signal: -84.30 dBm | First Path: -94.96 dBm | Diff: 10.66 dB
[NLOS] Signal: -84.32 dBm | First Path: -96.18 dBm | Diff: 11.86 dB
[NLOS] Signal: -84.92 dBm | First Path: -95.19 dBm | Diff: 10.28 dB
[NLOS] Signal: -84.28 dBm | First Path: -96.61 dBm | Diff: 12.32 dB
[NLOS] Signal: -84.35 dBm | First Path: -95.55 dBm | Diff: 11.20 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.47 dBm | Diff: 11.11 dB
[NLOS] Signal: -84.77 dBm | First Path: -95.00 dBm | Diff: 10.23 dB
[NLOS] Signal: -84.43 dBm | First Path: -95.58 dBm | Diff: 11.15 dB
[NLOS] Signal: -84.20 dBm | First Path: -95.81 dBm | Diff: 11.61 dB
[NLOS] Signal: -85.09 dBm | First Path: -95.30 dBm | Diff: 10.20 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.50 dBm | Diff: 10.74 dB
[NLOS] Signal: -84.51 dBm | First Path: -95.85 dBm | Diff: 11.34 dB
[NLOS] Signal: -84.54 dBm | First Path: -95.54 dBm | Diff: 11.00 dB
[NLOS] Signal: -84.44 dBm | First Path: -96.20 dBm | Diff: 11.76 dB
[NLOS] Signal: -84.45 dBm | First Path: -96.05 dBm | Diff: 11.61 dB
[NLOS] Signal: -84.55 dBm | First Path: -95.71 dBm | Diff: 11.16 dB
[NLOS] Signal: -84.43 dBm | First Path: -96.48 dBm | Diff: 12.05 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.90 dBm | Diff: 11.14 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.82 dBm | Diff: 11.39 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.44 dBm | Diff: 10.68 dB
[NLOS] Signal: -84.38 dBm | First Path: -95.99 dBm | Diff: 11.61 dB
[NLOS] Signal: -84.38 dBm | First Path: -96.09 dBm | Diff: 11.71 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.19 dBm | Diff: 11.83 dB
[NLOS] Signal: -84.59 dBm | First Path: -96.02 dBm | Diff: 11.42 dB
[NLOS] Signal: -84.51 dBm | First Path: -96.22 dBm | Diff: 11.71 dB
[NLOS] Signal: -84.84 dBm | First Path: -97.59 dBm | Diff: 12.75 dB
[NLOS] Signal: -84.51 dBm | First Path: -96.09 dBm | Diff: 11.58 dB
[NLOS] Signal: -84.13 dBm | First Path: -95.53 dBm | Diff: 11.40 dB
[NLOS] Signal: -84.16 dBm | First Path: -95.79 dBm | Diff: 11.63 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.05 dBm | Diff: 11.59 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.51 dBm | Diff: 12.15 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.74 dBm | Diff: 11.38 dB
[NLOS] Signal: -84.68 dBm | First Path: -96.58 dBm | Diff: 11.90 dB
[NLOS] Signal: -84.76 dBm | First Path: -96.03 dBm | Diff: 11.27 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.85 dBm | Diff: 11.09 dB
[NLOS] Signal: -84.68 dBm | First Path: -95.86 dBm | Diff: 11.18 dB
[NLOS] Signal: -84.30 dBm | First Path: -97.38 dBm | Diff: 13.08 dB
[NLOS] Signal: -84.76 dBm | First Path: -96.07 dBm | Diff: 11.31 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.23 dBm | Diff: 11.77 dB
[NLOS] Signal: -84.32 dBm | First Path: -96.76 dBm | Diff: 12.45 dB
[NLOS] Signal: -84.68 dBm | First Path: -96.27 dBm | Diff: 11.59 dB
[NLOS] Signal: -84.92 dBm | First Path: -96.11 dBm | Diff: 11.19 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.06 dBm | Diff: 11.70 dB
[NLOS] Signal: -84.44 dBm | First Path: -97.48 dBm | Diff: 13.04 dB
[NLOS] Signal: -84.62 dBm | First Path: -96.27 dBm | Diff: 11.65 dB
[NLOS] Signal: -84.35 dBm | First Path: -96.21 dBm | Diff: 11.86 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.62 dBm | Diff: 12.16 dB
[NLOS] Signal: -84.53 dBm | First Path: -96.20 dBm | Diff: 11.67 dB
[NLOS] Signal: -84.93 dBm | First Path: -96.00 dBm | Diff: 11.07 dB
[NLOS] Signal: -84.69 dBm | First Path: -96.23 dBm | Diff: 11.54 dB
[NLOS] Signal: -84.35 dBm | First Path: -96.73 dBm | Diff: 12.38 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.39 dBm | Diff: 12.03 dB
[NLOS] Signal: -84.13 dBm | First Path: -96.63 dBm | Diff: 12.50 dB
[NLOS] Signal: -84.26 dBm | First Path: -97.12 dBm | Diff: 12.86 dB
[NLOS] Signal: -84.61 dBm | First Path: -96.75 dBm | Diff: 12.14 dB
[NLOS] Signal: -84.20 dBm | First Path: -96.72 dBm | Diff: 12.52 dB
[NLOS] Signal: -84.93 dBm | First Path: -95.99 dBm | Diff: 11.06 dB
[NLOS] Signal: -84.77 dBm | First Path: -96.25 dBm | Diff: 11.49 dB
[NLOS] Signal: -84.28 dBm | First Path: -96.65 dBm | Diff: 12.36 dB
[NLOS] Signal: -84.53 dBm | First Path: -96.11 dBm | Diff: 11.58 dB
[NLOS] Signal: -84.44 dBm | First Path: -96.47 dBm | Diff: 12.03 dB
[NLOS] Signal: -84.51 dBm | First Path: -96.33 dBm | Diff: 11.82 dB
[NLOS] Signal: -84.62 dBm | First Path: -96.54 dBm | Diff: 11.92 dB
[NLOS] Signal: -84.61 dBm | First Path: -96.96 dBm | Diff: 12.35 dB
[NLOS] Signal: -84.68 dBm | First Path: -95.95 dBm | Diff: 11.27 dB
[NLOS] Signal: -84.76 dBm | First Path: -96.26 dBm | Diff: 11.50 dB
[NLOS] Signal: -84.24 dBm | First Path: -96.57 dBm | Diff: 12.33 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.25 dBm | Diff: 11.88 dB
[NLOS] Signal: -84.40 dBm | First Path: -97.63 dBm | Diff: 13.24 dB
[NLOS] Signal: -84.32 dBm | First Path: -97.03 dBm | Diff: 12.71 dB
[NLOS] Signal: -84.67 dBm | First Path: -96.71 dBm | Diff: 12.04 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.07 dBm | Diff: 11.23 dB
[NLOS] Signal: -84.76 dBm | First Path: -96.69 dBm | Diff: 11.93 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.64 dBm | Diff: 12.18 dB
[NLOS] Signal: -84.45 dBm | First Path: -96.43 dBm | Diff: 11.98 dB
[NLOS] Signal: -84.45 dBm | First Path: -96.29 dBm | Diff: 11.84 dB
[NLOS] Signal: -84.68 dBm | First Path: -96.05 dBm | Diff: 11.37 dB
[NLOS] Signal: -84.34 dBm | First Path: -96.85 dBm | Diff: 12.51 dB
[NLOS] Signal: -84.68 dBm | First Path: -96.54 dBm | Diff: 11.86 dB
[NLOS] Signal: -84.84 dBm | First Path: -96.43 dBm | Diff: 11.59 dB
