[NLOS] Signal: -84.68 dBm | First Path: -102.03 dBm | Diff: 17.35 dB
[NLOS] Signal: -83.92 dBm | First Path: -101.14 dBm | Diff: 17.22 dB
[NLOS] Signal: -83.83 dBm | First Path: -100.81 dBm | Diff: 16.98 dB
[NLOS] Signal: -83.87 dBm | First Path: -100.77 dBm | Diff: 16.90 dB
[NLOS] Signal: -84.20 dBm | First Path: -100.51 dBm | Diff: 16.31 dB
[NLOS] Signal: -84.30 dBm | First Path: -100.44 dBm | Diff: 16.14 dB
[NLOS] Signal: -84.28 dBm | First Path: -100.84 dBm | Diff: 16.56 dB
[NLOS] Signal: -84.67 dBm | First Path: -99.67 dBm | Diff: 15.00 dB
[NLOS] Signal: -84.54 dBm | First Path: -99.77 dBm | Diff: 15.23 dB
[NLOS] Signal: -84.42 dBm | First Path: -100.21 dBm | Diff: 15.80 dB
[NLOS] Signal: -84.45 dBm | First Path: -99.97 dBm | Diff: 15.52 dB
[NLOS] Signal: -84.46 dBm | First Path: -100.71 dBm | Diff: 16.25 dB
[NLOS] Signal: -84.38 dBm | First Path: -101.84 dBm | Diff: 17.46 dB
[NLOS] Signal: -84.51 dBm | First Path: -100.24 dBm | Diff: 15.73 dB
[NLOS] Signal: -84.10 dBm | First Path: -101.32 dBm | Diff: 17.22 dB
[NLOS] Signal: -84.30 dBm | First Path: -100.02 dBm | Diff: 15.72 dB
[NLOS] Signal: -84.55 dBm | First Path: -99.53 dBm | Diff: 14.98 dB
[NLOS] Signal: -84.21 dBm | First Path: -101.27 dBm | Diff: 17.06 dB
[NLOS] Signal: -84.48 dBm | First Path: -100.17 dBm | Diff: 15.70 dB
[NLOS] Signal: -84.08 dBm | First Path: -99.75 dBm | Diff: 15.68 dB
[NLOS] Signal: -84.20 dBm | First Path: -100.48 dBm | Diff: 16.28 dB
[NLOS] Signal: -84.16 dBm | First Path: -100.31 dBm | Diff: 16.15 dB
[NLOS] Signal: -84.26 dBm | First Path: -99.87 dBm | Diff: 15.61 dB
[NLOS] Signal: -84.05 dBm | First Path: -99.59 dBm | Diff: 15.53 dB
[NLOS] Signal: -84.44 dBm | First Path: -100.16 dBm | Diff: 15.73 dB
[NLOS] Signal: -84.34 dBm | First Path: -99.75 dBm | Diff: 15.41 dB
[NLOS] Signal: -84.22 dBm | First Path: -99.85 dBm | Diff: 15.64 dB
[NLOS] Signal: -83.99 dBm | First Path: -99.86 dBm | Diff: 15.87 dB
[NLOS] Signal: -84.44 dBm | First Path: -101.39 dBm | Diff: 16.96 dB
[NLOS] Signal: -84.45 dBm | First Path: -100.54 dBm | Diff: 16.09 dB
[NLOS] Signal: -84.16 dBm | First Path: -99.99 dBm | Diff: 15.84 dB
[NLOS] Signal: -84.16 dBm | First Path: -100.43 dBm | Diff: 16.28 dB
[NLOS] Signal: -84.00 dBm | First Path: -100.01 dBm | Diff: 16.01 dB
[NLOS] Signal: -84.10 dBm | First Path: -100.78 dBm | Diff: 16.68 dB
[NLOS] Signal: -84.22 dBm | First Path: -100.72 dBm | Diff: 16.50 dB
[NLOS] Signal: -84.05 dBm | First Path: -100.27 dBm | Diff: 16.22 dB
[NLOS] Signal: -83.95 dBm | First Path: -100.45 dBm | Diff: 16.50 dB
[NLOS] Signal: -84.08 dBm | First Path: -101.13 dBm | Diff: 17.06 dB
[NLOS] Signal: -109.26 dBm | First Path: -117.49 dBm | Diff: 8.22 dB
[NLOS] Signal: -84.02 dBm | First Path: -99.84 dBm | Diff: 15.82 dB
[NLOS] Signal: -84.10 dBm | First Path: -101.46 dBm | Diff: 17.36 dB
[NLOS] Signal: -84.13 dBm | First Path: -100.81 dBm | Diff: 16.68 dB
[NLOS] Signal: -84.38 dBm | First Path: -99.97 dBm | Diff: 15.59 dB
[NLOS] Signal: -84.20 dBm | First Path: -100.16 dBm | Diff: 15.96 dB
[NLOS] Signal: -84.24 dBm | First Path: -101.24 dBm | Diff: 17.00 dB
[NLOS] Signal: -84.18 dBm | First Path: -99.00 dBm | Diff: 14.82 dB
[NLOS] Signal: -84.28 dBm | First Path: -99.57 dBm | Diff: 15.29 dB
[NLOS] Signal: -84.34 dBm | First Path: -99.65 dBm | Diff: 15.31 dB
[NLOS] Signal: -84.13 dBm | First Path: -98.70 dBm | Diff: 14.58 dB
[NLOS] Signal: -84.54 dBm | First Path: -99.20 dBm | Diff: 14.66 dB
[NLOS] Signal: -84.28 dBm | First Path: -101.27 dBm | Diff: 16.99 dB
[NLOS] Signal: -84.14 dBm | First Path: -101.55 dBm | Diff: 17.41 dB
[NLOS] Signal: -84.18 dBm | First Path: -100.62 dBm | Diff: 16.44 dB
[NLOS] Signal: -84.22 dBm | First Path: -98.80 dBm | Diff: 14.58 dB
[NLOS] Signal: -84.14 dBm | First Path: -98.89 dBm | Diff: 14.75 dB
[NLOS] Signal: -84.16 dBm | First Path: -99.84 dBm | Diff: 15.68 dB
[NLOS] Signal: -84.05 dBm | First Path: -100.80 dBm | Diff: 16.75 dB
[NLOS] Signal: -83.99 dBm | First Path: -99.70 dBm | Diff: 15.71 dB
[NLOS] Signal: -84.13 dBm | First Path: -101.27 dBm | Diff: 17.14 dB
[NLOS] Signal: -84.24 dBm | First Path: -99.97 dBm | Diff: 15.73 dB
