[NLOS] Signal: -81.60 dBm | First Path: -91.64 dBm | Diff: 10.03 dB
[NLOS] Signal: -81.67 dBm | First Path: -91.22 dBm | Diff: 9.55 dB
[NLOS] Signal: -81.68 dBm | First Path: -91.46 dBm | Diff: 9.78 dB
[NLOS] Signal: -81.67 dBm | First Path: -91.59 dBm | Diff: 9.92 dB
[NLOS] Signal: -81.91 dBm | First Path: -91.84 dBm | Diff: 9.92 dB
[NLOS] Signal: -81.60 dBm | First Path: -91.27 dBm | Diff: 9.66 dB
[NLOS] Signal: -81.76 dBm | First Path: -91.30 dBm | Diff: 9.55 dB
[NLOS] Signal: -81.76 dBm | First Path: -91.25 dBm | Diff: 9.49 dB
[NLOS] Signal: -81.83 dBm | First Path: -92.21 dBm | Diff: 10.38 dB
[NLOS] Signal: -81.68 dBm | First Path: -91.02 dBm | Diff: 9.34 dB
[NLOS] Signal: -81.66 dBm | First Path: -91.23 dBm | Diff: 9.57 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.38 dBm | Diff: 9.63 dB
[NLOS] Signal: -81.61 dBm | First Path: -91.52 dBm | Diff: 9.91 dB
[NLOS] Signal: -81.83 dBm | First Path: -92.28 dBm | Diff: 10.45 dB
[NLOS] Signal: -81.67 dBm | First Path: -91.37 dBm | Diff: 9.70 dB
[NLOS] Signal: -81.76 dBm | First Path: -91.41 dBm | Diff: 9.65 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.90 dBm | Diff: 9.07 dB
[NLOS] Signal: -81.59 dBm | First Path: -91.09 dBm | Diff: 9.49 dB
[NLOS] Signal: -81.68 dBm | First Path: -91.47 dBm | Diff: 9.79 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.16 dBm | Diff: 9.41 dB
[NLOS] Signal: -81.54 dBm | First Path: -91.17 dBm | Diff: 9.63 dB
[NLOS] Signal: -81.84 dBm | First Path: -91.77 dBm | Diff: 9.93 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.34 dBm | Diff: 9.59 dB
[NLOS] Signal: -81.69 dBm | First Path: -91.29 dBm | Diff: 9.61 dB
[NLOS] Signal: -81.76 dBm | First Path: -91.05 dBm | Diff: 9.29 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.08 dBm | Diff: 9.33 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.47 dBm | Diff: 9.72 dB
[NLOS] Signal: -81.91 dBm | First Path: -92.09 dBm | Diff: 10.18 dB
[NLOS] Signal: -81.66 dBm | First Path: -91.51 dBm | Diff: 9.84 dB
[NLOS] Signal: -81.55 dBm | First Path: -91.23 dBm | Diff: 9.67 dB
[NLOS] Signal: -81.91 dBm | First Path: -92.43 dBm | Diff: 10.52 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.44 dBm | Diff: 9.70 dB
[NLOS] Signal: -82.15 dBm | First Path: -91.27 dBm | Diff: 9.12 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.14 dBm | Diff: 9.40 dB
[NLOS] Signal: -81.75 dBm | First Path: -92.17 dBm | Diff: 10.42 dB
[NLOS] Signal: -81.69 dBm | First Path: -90.96 dBm | Diff: 9.27 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.36 dBm | Diff: 9.53 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.05 dBm | Diff: 9.22 dB
[NLOS] Signal: -81.68 dBm | First Path: -91.52 dBm | Diff: 9.84 dB
[NLOS] Signal: -81.99 dBm | First Path: -91.68 dBm | Diff: 9.69 dB
[NLOS] Signal: -81.67 dBm | First Path: -91.45 dBm | Diff: 9.79 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.92 dBm | Diff: 10.17 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.52 dBm | Diff: 9.69 dB
[NLOS] Signal: -81.66 dBm | First Path: -92.07 dBm | Diff: 10.40 dB
[NLOS] Signal: -81.59 dBm | First Path: -91.94 dBm | Diff: 10.35 dB
[NLOS] Signal: -81.76 dBm | First Path: -92.03 dBm | Diff: 10.27 dB
[NLOS] Signal: -81.68 dBm | First Path: -91.48 dBm | Diff: 9.80 dB
[NLOS] Signal: -81.99 dBm | First Path: -92.68 dBm | Diff: 10.69 dB
[NLOS] Signal: -81.76 dBm | First Path: -91.53 dBm | Diff: 9.77 dB
[NLOS] Signal: -81.83 dBm | First Path: -92.39 dBm | Diff: 10.56 dB
